Month,AIO_Prevalence_Pct,Informational_Intent_Pct,Commercial_Intent_Pct,Transactional_Intent_Pct,Navigational_Intent_Pct,Zero_Click_Rate_AIO_Keywords_Pct,Source
2025-01,6.49,91.3,5.8,2.0,0.74,,SEMrush AI Overviews Study (10M+ keywords) - semrush.com/blog/semrush-ai-overviews-study/
2025-02,8.20,88.5,7.0,2.5,1.20,,SEMrush AI Overviews Study (interpolated from published trend)
2025-03,10.50,85.0,8.5,3.5,2.00,,SEMrush AI Overviews Study (March 2025 - original publication)
2025-04,14.00,80.0,10.5,5.0,3.50,,SEMrush AI Overviews Study (interpolated from published trend)
2025-05,18.50,75.0,12.5,6.5,5.00,,SEMrush AI Overviews Study (interpolated from published trend)
2025-06,22.00,70.0,14.5,8.0,6.50,,SEMrush AI Overviews Study (interpolated from published trend)
2025-07,24.61,65.0,16.0,10.0,8.00,,SEMrush AI Overviews Study (July peak confirmed in study)
2025-08,22.50,63.0,17.0,11.0,8.50,,SEMrush AI Overviews Study (interpolated from published trend)
2025-09,19.80,60.5,17.5,12.5,9.20,,SEMrush AI Overviews Study (interpolated from published trend)
2025-10,17.50,57.1,18.57,13.94,10.33,,SEMrush AI Overviews Study (October confirmed in study)
2025-11,15.69,56.0,19.0,14.5,10.50,,SEMrush AI Overviews Study (November confirmed in study)
