Industry,AIO_Saturation_Nov2025_Pct,Change_Since_March2025_Pct,Source
Science,25.96,-1.02,SEMrush AI Overviews Study Nov 2025
Computers & Electronics,17.92,,SEMrush AI Overviews Study Nov 2025
People & Society,17.29,,SEMrush AI Overviews Study Nov 2025
Health,15.50,,SEMrush AI Overviews Study Nov 2025 (decreased since March)
Law & Government,14.00,,SEMrush AI Overviews Study Nov 2025
Finance,12.50,,SEMrush AI Overviews Study Nov 2025
Pets & Animals,12.00,,SEMrush AI Overviews Study Nov 2025
Home & Garden,11.50,,SEMrush AI Overviews Study Nov 2025
Food & Drink,11.00,7.25,SEMrush AI Overviews Study Nov 2025 (largest increase)
Travel,10.00,,SEMrush AI Overviews Study Nov 2025
Beauty & Fitness,9.50,,SEMrush AI Overviews Study Nov 2025
Autos & Vehicles,8.00,,SEMrush AI Overviews Study Nov 2025
Jobs & Education,7.50,,SEMrush AI Overviews Study Nov 2025
Business & Industrial,7.00,,SEMrush AI Overviews Study Nov 2025
News,5.00,,SEMrush AI Overviews Study Nov 2025 (lagging average)
Sports,4.50,,SEMrush AI Overviews Study Nov 2025 (lagging average)
Arts & Entertainment,3.00,,SEMrush AI Overviews Study Nov 2025
Shopping,2.50,,SEMrush AI Overviews Study Nov 2025
Real Estate,2.00,,SEMrush AI Overviews Study Nov 2025 (lowest)
